player_id,therapy_id,item_id,x_coord,y_coord,hit,color
0,0,0,6.3,3,False,White
0,0,1,8.5,1,False,Black
0,0,2,8.5,1,False,White
0,0,3,7.4,3,False,Green
0,0,4,7.4,3,False,Red
0,0,5,8.5,1,False,White
0,0,6,6.3,2,False,White
0,0,7,8.5,3,False,Black
0,0,8,8.5,1,False,Black
0,0,9,8.5,3,False,Green
0,0,10,6.3,3,False,Green
0,0,11,7.4,1,False,Black
0,0,12,8.5,1,False,Green
0,0,13,7.4,3,True,White
0,0,14,7.4,3,True,Green
0,0,15,6.3,1,False,Black
0,0,16,6.3,3,False,Green
0,0,17,6.3,3,False,White
0,0,18,7.4,1,False,Red
0,0,19,6.3,1,False,Red
0,0,20,6.3,2,False,Green
0,0,21,6.3,1,False,White
0,0,22,6.3,3,False,Black
0,0,23,7.4,1,False,Red
0,0,24,8.5,1,False,Red
0,0,25,8.5,2,False,Black
0,0,26,6.3,1,False,Green
0,0,27,8.5,3,False,Black
0,0,28,8.5,3,False,Green
0,0,29,6.3,1,False,Green
0,0,30,7.4,3,True,Black
0,0,31,6.3,1,False,White
0,0,32,6.3,3,False,White
0,0,33,7.4,3,False,White
0,0,34,6.3,3,False,Green
0,0,35,7.4,1,False,White
0,0,36,6.3,3,False,Red
0,0,37,6.3,1,False,Red
0,0,38,6.3,3,False,Green
0,0,39,6.3,1,False,Red
0,0,40,8.5,3,False,Black
0,0,41,7.4,1,False,Green
0,0,42,7.4,3,False,Black
0,0,43,6.3,3,False,Black
0,0,44,8.5,2,False,Red
0,0,45,7.4,1,False,Red
0,0,46,6.3,2,False,Black
0,0,47,8.5,3,False,White
